3	35	12	43	13	1
10	19	2	8	24	9
1	17	39	30	3	5
24	9	31	1	36	8
26	7	23	9	10	1
44	14	22	5	33	5
24	15	37	18	9	7
43	39	47	12	15	5
45	37	11	29	2	6
38	19	8	32	15	9
17	32	12	27	43	3
3	32	34	15	28	5
18	7	13	20	31	8
23	17	22	18	29	7
35	43	33	34	22	10
14	36	21	6	24	1
41	32	33	27	47	4
30	43	18	12	35	6
46	30	6	5	47	5
17	13	12	30	15	10
4	1	39	38	23	3
32	4	6	45	35	6
23	5	32	44	3	8
9	3	31	21	22	10
8	43	4	25	21	9
37	41	33	29	2	9
33	39	15	30	32	4
33	43	35	42	23	6
11	25	34	47	26	8
42	46	43	27	20	9
40	6	17	10	24	8
31	38	23	47	8	9
2	6	34	18	24	2
8	6	24	11	45	2
33	7	25	20	30	3
32	3	26	1	9	1
27	7	5	46	38	8
10	47	2	29	6	3
21	11	15	7	32	6
45	35	44	11	34	10
19	34	5	14	10	8
4	8	34	19	6	9
33	15	32	27	8	5
32	33	45	43	20	10
27	24	38	18	10	5
22	41	23	36	6	6
10	38	19	24	16	3
32	31	42	28	30	10
31	29	24	3	41	6
2	38	19	11	15	8
5	11	26	25	12	7
13	4	28	7	34	3
20	40	43	14	31	9
41	25	9	32	10	8
26	21	4	12	16	3
10	19	23	5	44	10
14	27	35	1	17	9
44	11	26	33	15	10
14	45	35	5	10	4
40	22	6	18	29	9
46	43	47	3	27	2
46	17	39	26	1	6
18	35	6	26	41	5
1	21	27	3	22	10
11	13	19	42	27	8
36	43	3	5	6	1
17	41	2	16	9	3
35	44	40	30	19	2
5	19	41	10	26	4
23	11	24	26	35	2
18	14	4	11	3	7
19	11	2	38	43	6
4	11	34	22	25	6
44	30	12	35	21	9
34	42	11	32	29	9
15	38	30	25	7	9
28	29	4	45	6	4
24	3	21	10	39	2
38	16	23	17	19	5
11	36	46	7	12	9
25	5	42	11	30	6
27	20	36	29	6	8
26	19	13	37	43	5
10	8	3	28	4	1
29	7	3	11	23	7
46	29	40	35	7	8
20	36	44	23	7	4
34	23	27	6	26	2
22	15	44	9	40	5
21	4	14	35	36	5
15	16	35	42	23	1
39	19	37	31	40	4
39	12	46	14	26	4
1	20	26	38	36	6
13	36	35	14	41	9
2	15	41	47	21	2
17	8	18	4	21	6
1	32	47	13	18	1
21	44	12	13	16	10
20	14	12	41	28	9		
3	37	45	2	39	1
11	16	4	46	47	1
46	43	40	42	5	4
10	37	12	47	35	1
					